	Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi	lower	upper	credible	Taxon
20	4ed55370307d6700d110b6d3f1196136	-6.683332055000004	-0.05331444995575	0.5155980371833537	0.0265766591759344	(-7.54479, -5.59287)	(-0.106076, -0.00499679)	0.052761550044250004	0.04831765995575	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 sp000154245
21	b1a153ff5a21342991138e7f7dd2658e	-5.697851069999998	-0.0532537127189999	0.4111633449620179	0.0212780659909675	(-6.40482, -4.8472)	(-0.0949711, -0.0151931)	0.0417173872810001	0.0380606127189999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__CAG-138; g__; s__
22	09ee2c2d76be17c9ede2d4c57412adeb	-8.049064215000012	-0.0518282089175	0.4309983544623851	0.0223652403221387	(-8.85696, -7.25542)	(-0.0920077, -0.00893497)	0.0401794910825	0.0428932389175	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
23	8f5959f21dc9ce9a281656f8d699ec07	-5.911390714999997	-0.0514719531849999	0.2693983258235636	0.0138545930730369	(-6.38503, -5.40998)	(-0.0773925, -0.0263355)	0.025920546815000105	0.025136453184999897	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
24	5f9d6c173705f19cd3a1e5145c52789a	-7.981408479999991	-0.0495733819236999	0.4013922650527655	0.0208609160624241	(-8.78686, -7.31603)	(-0.084085, -0.00748908)	0.03451161807630009	0.0420843019236999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
26	27b636c66fa117272ed27920bad78969	-7.508898595000012	-0.0481375934428499	0.3449916565445839	0.017978738133812	(-8.12056, -6.82026)	(-0.0812023, -0.0141862)	0.0330647065571501	0.033951393442849906	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T celatum
28	e82ab12c51a893c6d7938a16632199a8	-6.659693769999992	-0.0479357284019999	0.4204835834605044	0.021880099962245	(-7.47948, -5.92255)	(-0.0896211, -0.00797026)	0.04168537159800009	0.0399654684019999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
29	490d2aec117bd7289577684ba3cc1b64	-5.966500165000002	-0.0474281224349998	0.3624381996839224	0.0186904321488584	(-6.61392, -5.2638)	(-0.085029, -0.0150978)	0.03760087756500019	0.0323303224349998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis
30	c8fce068920feb387167d44c01689295	-5.484777364999993	-0.0470331622844999	0.325384588427305	0.0166895244498344	(-6.05486, -4.84215)	(-0.0786406, -0.0169794)	0.031607437715500106	0.0300537622844999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
31	55d4d3011e1f3bb8e4e5089b801b61a4	-8.564789534999987	-0.04637206213	0.3418080239421446	0.0179489558014214	(-9.19943, -7.91848)	(-0.0784535, -0.0125711)	0.03208143786999999	0.03380096213	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
32	686d42b9552375c3b61301ae5605e3a2	-5.640367400000008	-0.0462943610053999	0.414757715513937	0.0216462839349813	(-6.37521, -4.87202)	(-0.085107, -0.00566099)	0.0388126389946001	0.040633371005399904	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
33	1a389bf765c8ff0f92600f684fbe7ad7	-5.0354911550000025	-0.045992986785	0.2774874297246924	0.014377565386597	(-5.5433, -4.49129)	(-0.0724037, -0.0186082)	0.026410713215	0.027384786785000004	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
