Feature	Intercept_mean	meat_fg_eaten_mean	Intercept_std	meat_fg_eaten_std	Intercept_hdi	meat_fg_eaten_hdi
f7895578be91c3e9c71c7b89e3e798db	-8.99648692499998	0.0008602703713800005	0.21847622476323225	0.0014754253719729477	(-9.38834, -8.56272)	(-0.00189732, 0.00364147)
8b40296c81e6ffbc10306d4a2ccab530	-9.488825185000001	0.0005317422711780002	0.0943443322180287	0.0006146282867257947	(-9.67024, -9.32598)	(-0.000713375, 0.00161858)
40a6b537d995aeb12b0100e2cb6ad879	-6.87464536499999	-0.0019126871235050013	0.12451192509581878	0.0008354160021312173	(-7.09486, -6.62109)	(-0.0035084, -0.00039257)
9ac5fec396208e598ab2e2d26985d0df	-8.401651100000008	0.002003518556500003	0.0756103370610792	0.0005040860170224016	(-8.53809, -8.25018)	(0.001076, 0.0029567)
19cb3add28813b2bf3e1f40a000d33c2	-4.4219468	7.254376390800009e-05	0.11939024007790573	0.0007738432248708148	(-4.68714, -4.2293)	(-0.00123236, 0.00159719)
686d42b9552375c3b61301ae5605e3a2	-6.089141279999996	-0.0033854968903500016	0.1897474944637256	0.0012721552962384483	(-6.43957, -5.71567)	(-0.00590812, -0.00110222)
51625f89e7332f46ab0641e10cede6ea	-6.756821070000001	-0.006043640144999995	0.18475353572572045	0.0012453573466939649	(-7.12315, -6.43637)	(-0.00830761, -0.00369366)
ddd87ec4b9d332c2d8c02f5d1b08dbb4	-7.732022125000007	0.0020730742485	0.07793651664550054	0.0005303278026639417	(-7.87607, -7.59464)	(0.00116966, 0.00317879)
588a23811b3e98af68f4f0fb24a0daa8	-5.281571309999996	-0.0015513356752255012	0.12640969446044842	0.0008528415967524801	(-5.50157, -5.02792)	(-0.00310973, 6.07735e-05)
7c82a2ef7685c5c6dc3080f56033cee9	-8.884830994999996	-0.00021081981903999983	0.18432133737296957	0.001275776443975495	(-9.21667, -8.53959)	(-0.00264733, 0.00213211)
