Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi
1243750138937650754b619370565800	-7.373018755000009	0.04751160445000003	0.27242399128876305	0.010365283927438984	(-7.8912, -6.86233)	(0.0267347, 0.0658658)
997c1b9bc29e50b9096303c708bb54e8	-9.530026644999987	0.0010177705384500008	0.23921004065317586	0.009134700806478414	(-9.99395, -9.08125)	(-0.0169126, 0.0176797)
8aff935557eab67b0baa4553b8518105	-8.958158015000006	0.007018825147705016	0.2923014550292384	0.011188767229489362	(-9.49352, -8.38878)	(-0.0140636, 0.028003)
39bb3fb5b2257fd2eacca408dc42c5d1	-5.235033409999987	-0.005861317837750011	0.20079329346437824	0.0076926658136451205	(-5.59243, -4.84347)	(-0.0206299, 0.00821317)
b9024a1f377b62508864cfea59b16a31	-8.000124659999999	0.014580360339999989	0.15625985524498734	0.0060106680040513255	(-8.30314, -7.73162)	(0.00380708, 0.0260057)
7ab1bc6052053650189083370055ae66	-6.329427869999993	0.008125273499199998	0.26962037829263397	0.010368387028723251	(-6.84035, -5.82533)	(-0.00999486, 0.0294888)
8183f1e3f9806994e125b1d5c6932498	-6.613758170000003	0.007688615868584989	0.22574877309223873	0.008626352756566471	(-7.02181, -6.18021)	(-0.00863806, 0.0231452)
92f000f936d3f349c5e7719a5edc5078	-7.267000189999997	-0.0014410371628400006	0.13436129786238268	0.005121300080758815	(-7.5173, -7.01618)	(-0.0110621, 0.00817497)
6509bd0f539df985ac2f40c335cdb999	-9.138795150000005	0.024157335376200004	0.2472891879944967	0.009428785685777197	(-9.57809, -8.65209)	(0.00778733, 0.0428067)
c4f9ef34bd2919511069f409c25de6f1	-4.451642214999999	-0.01003605981555	0.3020421479946859	0.011538895111392182	(-5.00374, -3.89)	(-0.031423, 0.0122012)
74923f4bbde849e27fc4eda25d757e2a	-5.788440829999997	-0.11681549970000014	0.3545682728094985	0.013971540125015926	(-6.4038, -5.07427)	(-0.141236, -0.0896297)
3edf7e19ca2ce44d4d3daa243e8725f7	-9.778552890000016	0.008367640488905004	0.20958141889549228	0.007972872912024073	(-10.1809, -9.37368)	(-0.00833251, 0.0220531)
ebab7cfc7858bfb00c486bba21d6ca6d	-6.350078574999989	0.027295819248599976	0.24366540292585542	0.009360050159850294	(-6.78372, -5.8738)	(0.00969281, 0.0447856)
