Feature	Intercept_mean	CV_vegetables_fg_eaten_mean	Intercept_std	CV_vegetables_fg_eaten_std	Intercept_hdi	CV_vegetables_fg_eaten_hdi
e0b7bd623a1b4cd1640883066e8d96bd	-9.140233110000002	-0.006333873140799991	0.2613951519143535	0.0039386755502153524	(-9.64654, -8.68867)	(-0.0135822, 0.00113582)
6a17479edbe461431433bddb084f731e	-6.119678595000011	-0.005354119750289997	0.21417972498132481	0.003191937933752994	(-6.56643, -5.76119)	(-0.0110593, 0.000820588)
35513c8de34a49ef37dde85737e6aef9	-7.81443577999999	0.001059669241450001	0.2953261781562749	0.004408867377412378	(-8.36007, -7.26562)	(-0.00740608, 0.00881985)
69536042153447ceb692aa53159ce0c2	-7.722164099999993	0.006147527865300001	0.1357516289596187	0.0020487100009982913	(-7.95297, -7.4615)	(0.00260313, 0.0100603)
0f92fcc184a951ff8b0914467ad2f8f9	-7.0333892499999955	0.0008507851525764989	0.15633143944625302	0.0023228239133794115	(-7.30802, -6.7095)	(-0.00359805, 0.00533449)
e9d9bafcf863ec0908ce4e20e6386ff9	-9.061970850000007	-0.006632948695700014	0.20820487263793203	0.0031564339508882724	(-9.41471, -8.65155)	(-0.0126353, -0.00109979)
979578981da3916b394bf24c32bace21	-6.56616447999999	-0.0036063516404650033	0.2635605577144077	0.0039041496222276765	(-7.03229, -6.06184)	(-0.0104764, 0.00384365)
5860dac317300b1fe6094e958240cc7f	-7.248319475000004	-0.006158005137000002	0.15191142309541567	0.002274047463918072	(-7.53431, -6.97143)	(-0.0103563, -0.00195844)
3a1461e8439091ad6b93af0ddb3849eb	-7.076283385000011	0.00022427289580499992	0.30351469684875504	0.0044780118818328685	(-7.66089, -6.54204)	(-0.00749527, 0.00874477)
d32627161d829a1488c2a047669cb29f	-6.1062579100000125	-0.0017925552278299985	0.4099635959104565	0.006102432648546925	(-6.88877, -5.30465)	(-0.0130265, 0.00994069)
e2c3ff4f647112723741aa72087f1bfa	-3.674952714999998	0.005787909064969991	0.15778367024055048	0.002352420054646155	(-3.94768, -3.36068)	(0.00157835, 0.0104974)
426bd7119a31b73ef734771a071a216c	-5.326714245000006	-0.007875825341149991	0.20613470569127862	0.0031198171865435506	(-5.70761, -4.9445)	(-0.0133553, -0.00160784)
aed0d8840bb7da5eacd80c6f9a1f91ed	-9.746410795000006	0.0005735951077665008	0.2344542814700085	0.0035085931434506675	(-10.1739, -9.32112)	(-0.00630312, 0.00663446)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-9.267305065000004	0.007571734295499995	0.145052004461489	0.0021286903439650577	(-9.51851, -8.98046)	(0.00355823, 0.0115521)
31c0a0bcf172474d82c69979df243e78	-6.087721109999993	-0.0005754194738769999	0.13484863538526415	0.0020163087463462384	(-6.33307, -5.83393)	(-0.00439906, 0.00310715)
f9b9b7db378357774e672fe5ba242b12	-9.625989264999983	-0.004629325617129996	0.22746715550098612	0.003437784206402481	(-10.0398, -9.21773)	(-0.0103584, 0.00225149)
95f975f50235610bca818dcc9d97f7d6	-8.64614679500001	-0.0025869524760680053	0.3498194551297538	0.00522757133324247	(-9.36609, -8.04178)	(-0.012718, 0.00702035)
ecaa9f4e15a28f212d9bd60f749191ab	-6.706698880000017	-0.010319998610000033	0.17831135000707507	0.0026626666429944755	(-7.03848, -6.38589)	(-0.0153112, -0.00553246)
a6fa2de5f4576d1d77b1616786e3dd52	-8.838140269999991	0.0011290130006099974	0.13526366740639229	0.0020111668423832742	(-9.09365, -8.59315)	(-0.00268967, 0.00478454)
1fa555f9a74d47a6ca7a65a347bc885f	-5.471688480000004	-0.007399348100500016	0.15165739010806434	0.002247621368969194	(-5.74669, -5.19292)	(-0.0115856, -0.00320651)
149e7d5e484d157f2ac6140a2111618e	-4.198022264999998	-0.00019788625008549998	0.1527575688521514	0.002248173860679585	(-4.50636, -3.93144)	(-0.00420822, 0.00397895)
605c54065160b61d47c4d5f87ffbe6bb	-8.756127165	-0.00302701516615	0.2651570917613041	0.004014345754105558	(-9.24438, -8.26157)	(-0.0106153, 0.004228)
5034598009be77942a505e7c9978b06b	-7.737569510000011	-0.005486623981949999	0.18312408110693656	0.0027707420280024715	(-8.06149, -7.37341)	(-0.010633, -0.000360965)
8526f1f5fd2dcff7e7a73db743c829d2	-6.415924849999997	-0.0003594258945150001	0.20824557244195502	0.003103578682882612	(-6.77432, -6.01762)	(-0.00569038, 0.0055861)
24ef07664cfa04a819d7797a89e653b6	-9.714459904999993	0.002901214665539999	0.258566784764287	0.0038560125344087146	(-10.1949, -9.22401)	(-0.0041543, 0.0103131)
03fdbec0c9b63a05ae79f92c6d3a4cfc	-6.737419020000007	-0.005936900568899995	0.2666191094965617	0.003871572979256379	(-7.2172, -6.23886)	(-0.0131614, 0.00113021)
aa3e2d76e864d7909b51110e211ef36c	-8.237927040000004	-0.008935264769250014	0.29383417021653274	0.004388081851338535	(-8.72587, -7.62483)	(-0.0166655, -0.000623338)
7efeb75fc542932a033b37b887994dc8	-9.573339865000007	0.019390688830000006	0.3633086249662012	0.005465074178691951	(-10.2485, -8.88699)	(0.00978165, 0.0302974)
2371e52106292ac4c33aec6f57cace35	-8.010423155000007	0.005105665841654992	0.1974978633190648	0.0029392710635536123	(-8.36976, -7.63761)	(-0.000368594, 0.010708)
913d55d109820d0f3fad120be103c64f	-7.432336235000003	-0.015498873729499991	0.25683891541562565	0.0038950220955523674	(-7.92201, -6.97286)	(-0.0228152, -0.00807459)
c82032c40c98975f71892e4be561c87a	-7.529375894999998	0.007458542489999996	0.13651765401111665	0.0020160735906727474	(-7.79118, -7.27435)	(0.00372787, 0.0113641)
ac9166cff57e7ff3581eaf798edc726c	-6.981773470000005	-0.003195610109725003	0.41045167405062294	0.006243269560713067	(-7.7732, -6.24173)	(-0.0140263, 0.00968791)
949af2c28ba6c0345ae58b9aed00a2c0	-7.438560914999988	-0.001065132504100001	0.3096755628460416	0.004576977632953229	(-7.99994, -6.83304)	(-0.00923142, 0.00811014)
8a261f382a739bbc5f9494b2c64c2744	-5.1108399	-0.002044495639105501	0.12372027745115179	0.0018647866772112645	(-5.33056, -4.86867)	(-0.00568502, 0.00134239)
e91f1c5b67ffecb5ca3ca3b393a50f00	-3.9906782749999943	-0.010329389680000014	0.20691333586183935	0.003050845581448627	(-4.35814, -3.54896)	(-0.0166594, -0.00494402)
99b02f389bd0b7abad0d4d8affb09e22	-9.978330520000004	0.0036325844887750047	0.25313342386522075	0.0036975410729929345	(-10.4557, -9.51412)	(-0.00332536, 0.01073)
d3d99580d90cca486a23372a474e9571	-8.651105219999987	-0.004560843037899996	0.21849116194128218	0.0032576935281088855	(-9.05092, -8.23715)	(-0.0107033, 0.00147897)
7076b69bea6fb40b94f8b32fd85fdb46	-9.22139755500002	-0.009598121198900014	0.24127259025295833	0.003662181319384993	(-9.69417, -8.79427)	(-0.0162504, -0.00261678)
e82ab12c51a893c6d7938a16632199a8	-7.038069144999997	-0.00828998010485001	0.2944721109900206	0.004298398595370729	(-7.52912, -6.42386)	(-0.0159635, -4.24075e-05)
2ae945b550c248752a5b463c9aca1a6a	-9.235290770000011	-0.0037599171091129966	0.28527538014961445	0.004308990466371901	(-9.78958, -8.70995)	(-0.011891, 0.00450375)
b423592b0ae631882095792b27729b9c	-7.907520784999984	-0.014307070649999988	0.24749350496353187	0.003635693263021909	(-8.36616, -7.45024)	(-0.0208129, -0.00728914)
3f1ed51e954b35a8108c12dd882b696b	-7.383749824999991	0.004908856736024996	0.2300504283571743	0.0034575912642766785	(-7.84282, -6.98374)	(-0.000937083, 0.0120865)
1fb601d8edb6994ffb112ad1a34828d5	-8.735240799999998	-0.006723859871315004	0.2516639242532787	0.003825230674947109	(-9.15286, -8.21591)	(-0.0137481, 0.000156698)
9f74473636e6874853d88dfcbcecff49	-7.043081470000005	0.006429989446325015	0.2031115277305528	0.003010489523222473	(-7.41109, -6.66429)	(0.000622158, 0.0118328)
4c731267e801c2afe253b5cbb58bdd24	-4.9497522200000015	0.004365619077700002	0.11363264877081589	0.0017135369653421112	(-5.15277, -4.74021)	(0.00129107, 0.00761189)
14387daaf0161dd3c971efd0f8806ffd	-8.06160824499999	0.0010071642587480007	0.18219792156682244	0.002730395518932502	(-8.3961, -7.72586)	(-0.00441095, 0.00578464)
c97220e6c4063a029dec2f8160977f83	-6.7048507050000055	-0.004565548828785001	0.21043757182226963	0.0031345529763512113	(-7.12526, -6.33436)	(-0.0108752, 0.00109048)
8a20667bca2eaf2a0687995af876a84c	-6.005782410000005	-0.009937576791359988	0.43365353933260065	0.0066243484270590335	(-6.77171, -5.18325)	(-0.0219838, 0.00231395)
131d3b899e72f19fcae1b0f9f8f3a009	-5.63333952	0.002430694389050002	0.5340376080755638	0.008169256726896456	(-6.66835, -4.68721)	(-0.0127277, 0.0174129)
c0c365b5a32a28b8d2602de07c5d0b06	-7.645711704999979	0.00022887881672000002	0.36102043065613737	0.00540803969486352	(-8.32008, -6.98991)	(-0.00980475, 0.00990953)
a650f349bbdffb95b3624519d1ba72b8	-5.244053404999995	0.004220656346349999	0.1457294225156883	0.0021876068676033797	(-5.49342, -4.92835)	(0.000281274, 0.00826427)
0f6da5f59be656db2dadef7bf2d1a2e6	-7.817041145000008	-0.011522014769999995	0.19946458514442847	0.0030238963921194353	(-8.1703, -7.44338)	(-0.0166741, -0.00567569)
e84bea8ae61342674744560dd7de4721	-6.7985958900000005	0.0001250211604600001	0.3041858786148823	0.004529163436557581	(-7.4092, -6.24871)	(-0.00835629, 0.00854142)
010f0ac2691bc0be12d0633d4b5d2cc4	-4.623079720000009	0.0006134458466500002	0.15578305179775362	0.0022995612966449815	(-4.91263, -4.32133)	(-0.00364545, 0.00494403)
c8fce068920feb387167d44c01689295	-5.894289070000001	-0.007297601791250003	0.25697810513336544	0.0038654614919548798	(-6.35458, -5.3948)	(-0.0144069, -0.000126812)
86deb5cf8d6f29d383136e0d09863b69	-10.358966169999995	0.005549750788950004	0.2693684873082429	0.003980715240971429	(-10.842, -9.82326)	(-0.00190498, 0.0128788)
79db4c4f494c95856ce31b42f267c4c4	-8.045302949999982	0.0011263401412384987	0.3876742516046141	0.005795111521949894	(-8.74095, -7.29597)	(-0.00963125, 0.0118232)
dde2f514908a4fcaa80827346c7b7a19	-7.985873329999997	0.0004814848618650003	0.16916604363349957	0.0025338792443554536	(-8.30681, -7.68064)	(-0.00425744, 0.00509647)
7dfa96abfa7484bb6c9cfa90dc9b606f	-5.295289050000005	-0.00748321279804999	0.1867352621558057	0.0027802241929595897	(-5.64605, -4.95357)	(-0.0126311, -0.00224155)
25f9cac7332bfbe3973f03bae0ee15cc	-8.504987354999994	-0.016025058555000016	0.2417423469710137	0.0037048201904343165	(-8.93839, -8.05486)	(-0.0228718, -0.00890488)
447b9d6a5c17543a456c597e65b37139	-4.274083014999989	-0.0016292750402400003	0.09848417473919238	0.0014678220298651298	(-4.4577, -4.09267)	(-0.00426073, 0.00128425)
ccce7fe8aa849bed027f6898300e0c45	-7.9435319399999935	-0.010365478539300012	0.24233012718384075	0.0036594887712162595	(-8.40755, -7.51452)	(-0.016851, -0.00320875)
363c1c39d58bce4fc3218659d0944258	-6.4483806500000025	0.0026538927158699984	0.17228452916317677	0.0025684840779831414	(-6.76723, -6.12554)	(-0.00224473, 0.00726105)
7be9bac1b13acbd8acf0de464d7c20e6	-8.398131270000002	0.0077347450080999984	0.19013115677733386	0.002825189885184008	(-8.78321, -8.06192)	(0.00226838, 0.0128945)
2ab8310e1e510f8045c7f4d191fa36be	-8.896755975000001	-0.0026700877540600057	0.3128450089206306	0.004593570988336995	(-9.47602, -8.32807)	(-0.0123656, 0.0051996)
a66dd8d31584930c2b0f811f572dddcf	-7.03091745000002	0.003163573689435	0.24803430454091918	0.0036584899890515785	(-7.48958, -6.56206)	(-0.00362543, 0.0100445)
10155b2834300619ce0102110a37b057	-7.0719773700000035	0.0018523595509460035	0.11794646719670367	0.0017841912017674622	(-7.30682, -6.85971)	(-0.00176119, 0.00503569)
fca904abacabcc0591dd00b0427f9180	-10.476802730000005	0.006081429026900004	0.24659381334382058	0.003634156720444819	(-10.9009, -9.99743)	(-0.000554636, 0.0128034)
ef6752ce31dcb9e16b1155bbaa1a268d	-9.225336100000016	0.006832590816180006	0.3036011634649808	0.004568893154582274	(-9.82319, -8.6467)	(-0.00208474, 0.0152425)
a24dae6b87885a55d81df1ea6d1abaf5	-5.6781197450000045	-0.001403948433060002	0.22859308023863065	0.0034425070645125438	(-6.12169, -5.25879)	(-0.00768733, 0.00520909)
79280cea51a6fe8a3432b2f266dd34db	-3.6337456299999955	-0.00032131723255499983	0.0976869197779472	0.0014615552581983663	(-3.81455, -3.4641)	(-0.00296061, 0.00243016)
