	Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi	lower	upper	credible	Taxon
10	f7ef98bb6d0061b9368a72b1ff40aad0	-8.013068799999992	-0.4308129050650003	0.3867900570381302	0.1830780776798684	(-8.71707, -7.27899)	(-0.775302, -0.0731181)	0.34448909493499974	0.3576948050650003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter sp000177015
11	1a5526b9f7147b6893f1a034a107cc65	-9.005195030000008	-0.4286432427999997	0.3282495000509509	0.1584251526427797	(-9.59996, -8.39983)	(-0.704159, -0.126846)	0.27551575720000027	0.30179724279999975	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus; s__Anaeromassilibacillus sp001305115
12	2ab8310e1e510f8045c7f4d191fa36be	-8.228710169999996	-0.4186649542000003	0.397129544979936	0.1883460664684385	(-8.99743, -7.50659)	(-0.743454, -0.0305171)	0.3247890457999996	0.3881478542000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Limivivens; s__Limivivens sp900066135
13	a167e4d4418792dcaba877443ed0e66d	-7.798870905000008	-0.4013657252899995	0.3555413211779062	0.1686788901224354	(-8.49138, -7.16631)	(-0.71799, -0.0886227)	0.31662427471000054	0.3127430252899995	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas; s__Butyricimonas faecihominis
16	5e69d50b5a886d1b222f36de84a9dc98	-8.462950035000004	-0.3775982888749999	0.3391702235200622	0.1612186196819182	(-9.08485, -7.83067)	(-0.675167, -0.084843)	0.29756871112500005	0.2927552888749999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 intestinalis
19	e2c3ff4f647112723741aa72087f1bfa	-2.586305100000005	-0.3579388376499992	0.1845387908578843	0.0881617647907802	(-2.91787, -2.2384)	(-0.524071, -0.201805)	0.16613216235000078	0.15613383764999916	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium breve
20	457d3865cf0a4bc602a07d8d5324388f	-7.935333314999985	-0.3535442783960999	0.3322787185870633	0.1554000679080917	(-8.60629, -7.36193)	(-0.671461, -0.0846484)	0.31791672160390005	0.2688958783960999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas aceti
21	29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.113717119999988	-0.3465586119414999	0.3358351652729438	0.1586869273290319	(-8.81851, -7.53951)	(-0.628921, -0.0283557)	0.28236238805850006	0.3182029119414999	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
24	9d4e16844252e2dfbaf80a4a6fc4d55d	-8.877305474999993	-0.3058807653829995	0.3440704586878602	0.1646834180653207	(-9.5094, -8.21283)	(-0.619183, -0.00114177)	0.3133022346170005	0.30473899538299953	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__Gemella taiwanensis
26	481e48328fe7a9837c7233de8f60fc23	-8.57310678000001	-0.2974237724060006	0.2739552423218651	0.1312722924772101	(-9.09498, -8.06415)	(-0.537921, -0.0442805)	0.24049722759399939	0.2531432724060006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hominibacterium; s__Hominibacterium faecale
28	c82032c40c98975f71892e4be561c87a	-6.46674044499999	-0.2844223033499999	0.1492235456067571	0.0702384564495582	(-6.7571, -6.20827)	(-0.412136, -0.155715)	0.1277136966500001	0.1287073033499999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
29	2a7f11895ae7fe9fdffa52016207c561	-5.432059845	-0.2807665544600001	0.2293387663665391	0.1091989596644496	(-5.82767, -4.97312)	(-0.501303, -0.0897584)	0.22053644553999996	0.19100815446000008	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium breve
31	399bcf0feb12a20ca0731d8d65268dae	-5.761314535000006	-0.2646738187417005	0.2436994397165979	0.114906623137198	(-6.18297, -5.28581)	(-0.47462, -0.0506584)	0.2099461812582995	0.2140154187417005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Vescimonas; s__Vescimonas fastidiosa
