Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi
30c16856bd5bae4cd2f1182341b30ffc	-10.091228760000005	0.4898677608999995	0.3669772612670464	0.17204823086015614	(-10.7718, -9.40893)	(0.166446, 0.800764)
ac5402de1ddf427ab8d2b0a8a0a44f19	-3.467935874999991	-0.07893104836800005	0.18410885190596984	0.08715998784832187	(-3.80771, -3.1144)	(-0.242225, 0.0823944)
d0037fe3397f56b52e971759e3f2f7a8	-8.770099005000013	-0.03450956035029999	0.3920269886656527	0.18732408872170284	(-9.50211, -8.0352)	(-0.431837, 0.279862)
3d7f3a3956e66e4728521a97abd9f07b	-7.7582782300000055	0.12380230674599997	0.44628533941119675	0.21258359417848047	(-8.62673, -6.96026)	(-0.278542, 0.515111)
3e15d94435169ddada1e508dd8b83a55	-8.860245375000012	0.3794391377249992	0.27610378296857774	0.13161676200733632	(-9.38372, -8.34478)	(0.148748, 0.645421)
ed1528f4822674c9e1da64b84c778e9f	-6.166663680000003	0.10309363110665015	0.24937493875258898	0.1191810418889313	(-6.65195, -5.71518)	(-0.12542, 0.328084)
477734397215c70bdacce28d5685cc6e	-6.146300910000004	-0.024318586063000053	0.4704610913989295	0.22429941021751013	(-7.03896, -5.26483)	(-0.456137, 0.38586)
1243750138937650754b619370565800	-7.11171206000002	0.4730483862500002	0.2938431276760723	0.14032054787451634	(-7.63224, -6.5461)	(0.225557, 0.744162)
997c1b9bc29e50b9096303c708bb54e8	-9.846390714999979	0.1652114069324996	0.2813855877054454	0.13175780475872978	(-10.3649, -9.28475)	(-0.0789096, 0.417161)
8aff935557eab67b0baa4553b8518105	-9.878381929999998	0.5215902550999997	0.38170723632802	0.181600628129685	(-10.6363, -9.1956)	(0.17675, 0.853453)
39bb3fb5b2257fd2eacca408dc42c5d1	-4.9886766649999945	-0.19493298000399983	0.24800372304307827	0.11789685087983544	(-5.46002, -4.54752)	(-0.41001, 0.0325862)
b9024a1f377b62508864cfea59b16a31	-8.075566924999986	0.21585545718999993	0.18232012238860093	0.08678507525858721	(-8.41418, -7.74756)	(0.0520531, 0.367476)
7ab1bc6052053650189083370055ae66	-6.547849339999982	0.20567624806450027	0.3424814155826045	0.16448040308925788	(-7.17552, -5.89629)	(-0.11064, 0.498796)
8183f1e3f9806994e125b1d5c6932498	-6.706951439999989	0.1383450302815499	0.2551960290579116	0.1211470151690724	(-7.14043, -6.19475)	(-0.0964379, 0.353517)
92f000f936d3f349c5e7719a5edc5078	-7.194261814999992	-0.05410290828800001	0.1454091976418816	0.06930823501785471	(-7.48508, -6.94045)	(-0.177416, 0.0787843)
6509bd0f539df985ac2f40c335cdb999	-9.164595570000017	0.31182523966549985	0.31245767400093566	0.14825143364558238	(-9.73129, -8.58903)	(0.0179698, 0.572645)
c4f9ef34bd2919511069f409c25de6f1	-4.5609364999999995	-0.06831620342800014	0.3576397647208011	0.17065405013764584	(-5.2833, -3.95366)	(-0.38767, 0.240394)
74923f4bbde849e27fc4eda25d757e2a	-6.578288165000005	-0.9728613520000002	0.3323151587192237	0.1569238960998996	(-7.19843, -5.96204)	(-1.26319, -0.674708)
3edf7e19ca2ce44d4d3daa243e8725f7	-9.875965494999988	0.14983914036259988	0.22353581356273744	0.10454565585421867	(-10.279, -9.45693)	(-0.0534758, 0.340252)
ebab7cfc7858bfb00c486bba21d6ca6d	-6.6124953649999965	0.46263525025	0.2798830150714162	0.13295275788129718	(-7.13892, -6.10333)	(0.227599, 0.727847)
8937656c16c20701c107e715bad86732	-3.1277715900000067	-0.047959936440900026	0.19780145485908815	0.09514247614370615	(-3.53139, -2.77032)	(-0.215132, 0.144277)
6a6880faba39965be0e4b7d88966d1c9	-6.476879240000001	0.06900225385369997	0.2924884334568164	0.1383995590163562	(-7.05708, -5.95916)	(-0.171813, 0.342664)
85c05d873041801d03eed489230b23f6	-8.692451284999985	0.2873320445500002	0.16732837416977062	0.0793964843696126	(-9.00214, -8.36716)	(0.147322, 0.445966)
6d8fe4ac153ead767024e041ff1f0ec6	-9.029679825000015	0.33392287988449976	0.45125547769309005	0.2174489006011458	(-9.86018, -8.17646)	(-0.080277, 0.733087)
ed5952d1e022067b212146b9b3bc6812	-4.725757854999997	-0.005213830243799987	0.4198041433626511	0.20248457115549698	(-5.61691, -4.01064)	(-0.423394, 0.355763)
7029eddc845e01d613a3bbc113ebeaba	-7.078174105000003	0.27804627968999973	0.2798523253683966	0.13292957456023954	(-7.61049, -6.5695)	(0.0349774, 0.535763)
41d23d8bc82f57b26b6896d5e2e947e8	-10.389913774999977	0.3559169028500009	0.28529625270251857	0.13218436444309672	(-10.9172, -9.87185)	(0.115662, 0.590693)
0021d135d4ac12982cc8abdf2b38e23f	-6.1529607949999905	-0.28360514459449937	0.4969374468618944	0.2360773021231423	(-6.98276, -5.12592)	(-0.717983, 0.165575)
e4c0082e2ab8c9772768fc29bb86caa3	-6.98107414499999	0.15774808887649971	0.1921031388524635	0.09235310609574039	(-7.33095, -6.59998)	(-0.014536, 0.334317)
46d8ab5615f60d7b522f3590976668be	-9.234723954999998	0.12493577590874987	0.19579879656041801	0.09228792413434951	(-9.61259, -8.90324)	(-0.0356546, 0.298425)
