Feature	Intercept_mean	phosphorus_eaten_mean	Intercept_std	phosphorus_eaten_std	Intercept_hdi	phosphorus_eaten_hdi
69536042153447ceb692aa53159ce0c2	-7.376052134999999	0.05757198831400007	0.15161174693338167	0.1574222127776851	(-7.64219, -7.0879)	(-0.239336, 0.331694)
0f92fcc184a951ff8b0914467ad2f8f9	-6.998432379999996	0.019007869695199978	0.18660836764742242	0.19423088533515953	(-7.31279, -6.61689)	(-0.355064, 0.375141)
e9d9bafcf863ec0908ce4e20e6386ff9	-9.6122112	0.1440114836814998	0.22993935163377308	0.237627634416056	(-10.0483, -9.20099)	(-0.288948, 0.593387)
979578981da3916b394bf24c32bace21	-7.020028494999999	0.23757268677300036	0.3282781543582896	0.3420129074070396	(-7.58391, -6.38583)	(-0.423986, 0.817226)
5860dac317300b1fe6094e958240cc7f	-7.858468499999989	0.2370166918885003	0.17145355013049454	0.1785801922066432	(-8.2108, -7.56606)	(-0.0793685, 0.579491)
3a1461e8439091ad6b93af0ddb3849eb	-7.161858719999986	0.10353920057349984	0.4055209032345453	0.41916321408250506	(-7.92882, -6.42271)	(-0.652611, 0.902795)
d32627161d829a1488c2a047669cb29f	-6.133335439999992	-0.09660731975320004	0.4936976917336221	0.5092622010961894	(-7.11769, -5.23935)	(-1.02671, 0.892557)
e2c3ff4f647112723741aa72087f1bfa	-2.9272057800000026	-0.40598731219999923	0.1768430227546217	0.18218836886036813	(-3.27783, -2.61385)	(-0.7496, -0.076022)
426bd7119a31b73ef734771a071a216c	-6.088965579999993	0.28569375594390073	0.254134271313539	0.2636628418792696	(-6.56323, -5.60687)	(-0.223864, 0.781267)
aed0d8840bb7da5eacd80c6f9a1f91ed	-9.23157776499998	-0.5183590322339996	0.2736584154128185	0.28564497761472796	(-9.75327, -8.71885)	(-1.03006, 0.0422819)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-8.564035864999985	-0.2204817826399996	0.17024010433840722	0.1767827026391759	(-8.89113, -8.27275)	(-0.520726, 0.122687)
31c0a0bcf172474d82c69979df243e78	-6.333324665000006	0.22135159407999952	0.15269340241637108	0.15929204685877021	(-6.60483, -6.03638)	(-0.055991, 0.53763)
f9b9b7db378357774e672fe5ba242b12	-10.320365204999982	0.42137724290060036	0.25700019374381405	0.2670985805115203	(-10.8461, -9.87096)	(-0.0744032, 0.927981)
95f975f50235610bca818dcc9d97f7d6	-8.921781774999998	0.10934224005238506	0.42028989103070197	0.4366606739843827	(-9.7097, -8.14433)	(-0.741234, 0.881895)
ecaa9f4e15a28f212d9bd60f749191ab	-7.522269309999992	0.18482405236599994	0.23340199610805368	0.2422322865031219	(-7.95444, -7.09669)	(-0.264361, 0.625124)
a6fa2de5f4576d1d77b1616786e3dd52	-8.503134270000007	-0.2837699160649994	0.1587812134856232	0.16528228867892072	(-8.80361, -8.21649)	(-0.575972, 0.039016)
