Feature	Intercept_mean	beta_carotene_eaten_mean	Intercept_std	beta_carotene_eaten_std	Intercept_hdi	beta_carotene_eaten_hdi
514b34f09e4acd2397d38273c630d338	-8.520715870000007	-0.656231738855	0.10415026025432252	5.010776184745977	(-8.70528, -8.31216)	(-9.52938, 8.8311)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-7.805214044999993	0.88496075697	0.04773519910284204	4.996558777349546	(-7.89233, -7.71137)	(-8.51212, 10.1793)
1c94105978b1aa2095e3c0096774f240	-8.216416875000004	-0.15767648865000045	0.06843864869709486	5.005494022982701	(-8.34791, -8.09526)	(-9.21805, 9.55179)
27b636c66fa117272ed27920bad78969	-8.403894844999993	1.5956536698950006	0.08117833890931733	4.66353420900334	(-8.54924, -8.25106)	(-7.23012, 10.3472)
7201d53bd647437ec3de879774eba498	-6.715804424999994	0.03615173193499991	0.11294805763345099	4.871671097595556	(-6.92467, -6.50178)	(-8.8901, 9.25508)
f8529e2e737999b4a7d06420482d4af3	-8.490836805000006	0.7706313193399994	0.10756639058340645	5.044378644998297	(-8.68762, -8.28851)	(-8.56602, 10.3034)
959d48a11e3b26c9268f0bd1dae6ec40	-4.232279150000002	4.0913701886899965	0.037188048562374114	4.842325333442483	(-4.30585, -4.16488)	(-4.91123, 13.1627)
bd0f4e14387ee1ac7e5fe586cadbbed4	-8.880548410000019	-2.2323867936315005	0.044275514186420235	4.791047947910124	(-8.96233, -8.7975)	(-10.8282, 7.19971)
66047b69a772cae3e37186eb74254da7	-8.844519630000026	-0.3464705231150002	0.0881629805948228	4.864766276801189	(-9.00503, -8.68728)	(-9.05322, 8.92209)
4207ad1746e5fbce9c5ed5efe1e357d9	-7.394959340000003	1.4514108626349984	0.04615710353742317	4.6051446850648015	(-7.47918, -7.31114)	(-6.68289, 10.377)
30207d209491dfb7de83344e77fd6fbd	-6.313011559999986	0.882669489405	0.04743162104721276	4.846936534383638	(-6.40068, -6.22497)	(-8.47137, 9.88835)
3e93fd55a231bb99b67a666bad8446a8	-8.25752594	-0.8359656140999981	0.05053889438854398	5.01976982864056	(-8.34937, -8.16256)	(-9.21513, 9.53286)
d39f37b814ebd81091a949f8bd9d1710	-6.240728164999994	-0.86734829697	0.06626633177853433	4.88722198337365	(-6.37902, -6.12925)	(-10.4625, 7.52331)
706b0d627a9ba61b18e6b7b39622ac1f	-8.998038685000008	-0.5966884829329999	0.0761835121113537	4.927209932116553	(-9.14923, -8.86445)	(-9.98308, 8.24499)
32382a0f5831da5faee464d011b5616c	-5.918047574999998	-0.4791264638799997	0.11742577107717606	5.014263972552588	(-6.13044, -5.68347)	(-9.9996, 8.74972)
fcd575ef43a2ae77d9b7c10639e80fd8	-9.828458320000014	-0.11546758638500032	0.08203669980428024	4.9486706724980785	(-9.98269, -9.6787)	(-9.81268, 8.41907)
fdb1c35a8dab336d65ed22d796e71e4b	-6.722008854999993	-0.3485037418800006	0.1233426941352383	5.0346127856830805	(-6.94657, -6.48598)	(-10.2879, 8.64318)
